Stroke Number,Time (secs),Distance (meters),Stroke Rate (s/m),500m Split (secs),Power (Watts),Heart Rate (bpm),Peak Force (Newtons),Average Drive Force (Newtons),Drive Length (meters),Drive Time (secs),% of Stroke Complete When Peak Force Is Reached,Impulse (Average force x Time) (Nâ€¢s),Work Per Stroke (Joules),Stroke Speeed (m/s),Force Curve Data Points (Newtons)
1,2,11,0,182,91,0,515.43,324.72,1.33,0.9400000000000001,30.19, 305.24,251,1.41,8.896 8.896 57.827 57.827 182.377 213.515 213.515 262.445 302.479 302.479 355.858 373.65 373.65 409.236 409.236 386.995 409.236 413.684 440.374 440.374 444.822 462.615 462.615 471.511 475.96 511.545 471.511 471.511 471.511 493.752 511.545 511.545 462.615 413.684 413.684 422.581 422.581 409.236 409.236 346.961 293.583 289.134 289.134 266.893 217.963 173.481 155.688 155.688 102.309 66.723 44.482 44.482 31.138 
2,5,21,22,157,112,0,457.16,289.13,1.27,0.8200000000000001,47.17, 237.09,294,1.55,66.723 66.723 128.998 173.481 173.481 204.618 191.273 191.273 293.583 293.583 360.306 324.72 324.72 355.858 378.099 378.099 400.34 413.684 413.684 440.374 453.718 422.581 422.581 404.788 427.029 427.029 449.27 373.65 360.306 360.306 369.202 360.306 311.375 271.341 271.341 262.445 262.445 249.1 213.515 213.515 164.584 137.895 102.309 102.309 84.516 40.034 
3,8,29,24,140,128,0,488.54,320.27,1.30,0.8,43.48, 256.22,317,1.62,151.239 151.239 195.722 240.204 240.204 253.549 275.79 275.79 378.099 413.684 413.684 369.202 382.547 382.547 409.236 422.581 427.029 467.063 458.167 484.856 467.063 467.063 467.063 444.822 444.822 444.822 418.133 400.34 378.099 364.754 346.961 346.961 320.272 324.72 298.031 280.238 240.204 240.204 204.618 195.722 164.584 120.102 80.068 80.068 57.827 
4,10,38,24,140,140,0,488.54,306.93,1.21,0.73,42.22, 224.06,345,1.66,133.447 133.447 164.584 204.618 204.618 262.445 302.479 355.858 333.617 382.547 382.547 413.684 418.133 400.34 400.34 395.892 444.822 440.374 440.374 427.029 413.684 475.96 484.856 484.856 400.34 400.34 395.892 404.788 404.788 342.513 306.927 298.031 262.445 262.445 209.066 173.481 155.688 151.239 137.895 80.068 17.793 
5,12,48,24,136,146,0,564.73,373.65,1.30,0.74,53.66, 276.50,353,1.76,155.688 155.688 217.963 275.79 275.79 338.065 373.65 444.822 471.511 471.511 484.856 484.856 515.994 515.994 498.201 498.201 515.994 538.235 560.476 520.442 520.442 515.994 533.786 524.89 484.856 484.856 435.926 444.822 418.133 431.477 369.202 346.961 324.72 324.72 324.72 266.893 222.411 191.273 160.136 128.998 31.138 
6,15,57,25,134,164,0,515.43,346.96,1.36,0.77,43.90, 267.16,404,1.77,93.413 155.688 155.688 182.377 226.859 226.859 226.859 302.479 373.65 431.477 427.029 440.374 435.926 435.926 467.063 475.96 471.511 471.511 493.752 493.752 493.752 489.304 475.96 475.96 511.545 484.856 458.167 435.926 418.133 427.029 427.029 409.236 315.824 346.961 315.824 315.824 253.549 213.515 177.929 169.032 146.791 106.757 62.275 
7,17,67,24,129,170,0,537.84,355.86,1.42,0.79,55.81, 281.13,420,1.80,88.964 88.964 169.032 235.756 293.583 293.583 329.168 311.375 333.617 378.099 409.236 409.236 422.581 422.581 418.133 449.27 435.926 435.926 449.27 493.752 507.097 502.649 493.752 511.545 511.545 533.786 502.649 467.063 467.063 462.615 453.718 440.374 391.443 391.443 386.995 386.995 329.168 293.583 231.307 235.756 186.825 137.895 80.068 53.379 
8,20,77,24,127,178,0,546.80,351.41,1.36,0.75,56.82, 263.56,433,1.81,115.654 115.654 186.825 226.859 253.549 253.549 302.479 355.858 427.029 427.029 453.718 458.167 484.856 467.063 467.063 458.167 502.649 524.89 538.235 538.235 484.856 498.201 515.994 542.683 475.96 467.063 431.477 431.477 440.374 400.34 369.202 338.065 298.031 293.583 262.445 222.411 191.273 155.688 177.929 142.343 97.861 48.93 40.034 
9,22,86,25,125,173,0,506.47,329.17,1.30,0.73,53.49, 240.29,421,1.78,120.102 120.102 160.136 209.066 240.204 240.204 289.134 302.479 364.754 364.754 427.029 435.926 435.926 435.926 440.374 431.477 467.063 467.063 467.063 484.856 498.201 502.649 484.856 458.167 444.822 427.029 449.27 422.581 391.443 342.513 311.375 289.134 249.1 249.1 222.411 217.963 204.618 186.825 146.791 102.309 
10,25,96,25,126,167,0,555.77,373.65,1.39,0.77,52.50, 287.71,417,1.81,124.55 191.273 191.273 240.204 306.927 306.927 306.927 342.513 449.27 449.27 484.856 458.167 458.167 475.96 475.96 538.235 533.786 529.338 511.545 511.545 520.442 529.338 493.752 515.994 520.442 520.442 484.856 462.615 435.926 427.029 444.822 404.788 324.72 320.272 284.686 311.375 257.997 257.997 249.1 209.066 160.136 102.309 88.964 
11,27,106,24,128,178,0,533.36,378.10,1.27,0.6900000000000001,34.88, 260.89,428,1.84,164.584 231.307 231.307 280.238 298.031 302.479 302.479 378.099 458.167 467.063 467.063 431.477 480.408 484.856 493.752 493.752 502.649 507.097 520.442 529.338 507.097 489.304 489.304 484.856 502.649 489.304 427.029 418.133 404.788 378.099 342.513 293.583 280.238 257.997 257.997 217.963 182.377 128.998 93.413 
12,30,115,25,125,179,0,569.21,395.89,1.30,0.7000000000000001,48.72, 277.12,431,1.86,137.895 213.515 213.515 266.893 298.031 369.202 369.202 404.788 471.511 462.615 462.615 493.752 520.442 524.89 538.235 538.235 542.683 564.924 542.683 538.235 551.579 547.131 551.579 551.579 480.408 444.822 453.718 440.374 449.27 422.581 355.858 333.617 311.375 253.549 240.204 169.032 169.032 164.584 133.447 128.998 
13,32,125,25,125,187,0,591.62,382.55,1.30,0.7000000000000001,42.50, 267.78,440,1.86,128.998 128.998 182.377 253.549 306.927 306.927 351.409 386.995 431.477 431.477 475.96 502.649 533.786 520.442 507.097 507.097 533.786 542.683 587.165 547.131 533.786 533.786 524.89 520.442 498.201 484.856 480.408 449.27 400.34 391.443 360.306 320.272 289.134 257.997 249.1 249.1 191.273 173.481 128.998 75.62 
14,34,134,26,123,190,0,542.32,364.75,1.30,0.7000000000000001,45.00, 255.33,437,1.86,128.998 222.411 222.411 275.79 289.134 302.479 302.479 320.272 409.236 467.063 467.063 440.374 480.408 462.615 471.511 511.545 480.408 515.994 520.442 538.235 511.545 520.442 515.994 507.097 493.752 462.615 444.822 422.581 391.443 378.099 369.202 346.961 249.1 186.825 195.722 182.377 173.481 133.447 88.964 88.964 
15,37,144,25,124,185,0,569.21,387.00,1.33,0.71,47.50, 274.77,440,1.87,137.895 137.895 226.859 289.134 284.686 284.686 329.168 360.306 467.063 467.063 467.063 475.96 484.856 507.097 511.545 511.545 533.786 538.235 542.683 564.924 538.235 538.235 538.235 547.131 529.338 502.649 475.96 440.374 440.374 418.133 409.236 364.754 262.445 257.997 244.652 244.652 253.549 209.066 160.136 106.757 
16,39,154,25,124,186,0,515.43,342.51,1.33,0.72,47.50, 246.61,452,1.85,146.791 146.791 217.963 271.341 271.341 271.341 284.686 360.306 449.27 449.27 467.063 431.477 444.822 458.167 458.167 484.856 475.96 458.167 449.27 489.304 511.545 511.545 511.545 462.615 422.581 453.718 418.133 400.34 360.306 355.858 355.858 329.168 275.79 262.445 222.411 217.963 195.722 177.929 142.343 88.964 
17,41,163,25,123,179,0,564.73,378.10,1.33,0.72,50.00, 272.23,420,1.85,97.861 97.861 173.481 240.204 257.997 257.997 306.927 360.306 458.167 458.167 444.822 471.511 475.96 511.545 511.545 515.994 515.994 507.097 538.235 538.235 560.476 529.338 520.442 502.649 538.235 533.786 493.752 458.167 458.167 444.822 427.029 427.029 333.617 284.686 253.549 209.066 231.307 213.515 169.032 111.206 
18,44,173,26,125,186,0,578.18,395.89,1.33,0.71,50.00, 281.08,445,1.87,151.239 151.239 217.963 280.238 329.168 329.168 386.995 435.926 489.304 489.304 484.856 507.097 533.786 547.131 515.994 515.994 498.201 533.786 560.476 573.82 542.683 529.338 520.442 520.442 538.235 515.994 467.063 458.167 431.477 404.788 378.099 333.617 271.341 275.79 275.79 240.204 182.377 151.239 106.757 106.757 
19,46,182,25,123,192,0,582.66,382.55,1.30,0.6900000000000001,47.50, 263.96,448,1.88,102.309 102.309 173.481 244.652 298.031 298.031 351.409 382.547 480.408 511.545 511.545 515.994 524.89 524.89 520.442 538.235 538.235 551.579 578.269 551.579 533.786 533.786 524.89 524.89 524.89 489.304 462.615 431.477 409.236 378.099 369.202 306.927 244.652 209.066 200.17 173.481 151.239 120.102 106.757 
20,49,192,25,123,188,0,591.62,387.00,1.30,0.7000000000000001,46.15, 270.90,455,1.86,151.239 151.239 240.204 311.375 302.479 302.479 329.168 386.995 507.097 507.097 493.752 480.408 498.201 524.89 538.235 538.235 542.683 529.338 551.579 529.338 587.165 582.717 551.579 551.579 502.649 489.304 462.615 435.926 382.547 360.306 342.513 315.824 253.549 213.515 200.17 155.688 146.791 111.206 97.861 97.861 
21,51,202,25,123,183,0,524.39,364.75,1.30,0.71,50.00, 258.98,447,1.83,124.55 124.55 204.618 284.686 324.72 324.72 360.306 364.754 449.27 449.27 498.201 498.201 498.201 449.27 449.27 444.822 507.097 511.545 502.649 458.167 458.167 458.167 471.511 520.442 467.063 409.236 422.581 422.581 395.892 369.202 369.202 333.617 262.445 253.549 240.204 217.963 186.825 151.239 124.55 115.654 
22,53,212,25,124,179,0,591.62,387.00,1.33,0.72,57.50, 278.64,441,1.85,155.688 222.411 222.411 226.859 271.341 320.272 320.272 400.34 453.718 453.718 471.511 493.752 480.408 515.994 529.338 529.338 582.717 573.82 578.269 573.82 564.924 564.924 587.165 587.165 498.201 489.304 453.718 462.615 453.718 413.684 355.858 320.272 293.583 253.549 262.445 240.204 235.756 169.032 155.688 106.757 
23,56,222,24,125,185,0,614.03,391.44,1.33,0.72,55.00, 281.84,451,1.85,133.447 209.066 209.066 289.134 293.583 293.583 293.583 342.513 489.304 520.442 520.442 502.649 515.994 529.338 533.786 533.786 564.924 573.82 587.165 609.406 578.269 582.717 564.924 560.476 520.442 511.545 471.511 449.27 435.926 431.477 386.995 342.513 271.341 222.411 186.825 173.481 195.722 155.688 106.757 53.379 
24,58,232,25,124,188,0,587.14,382.55,1.36,0.73,47.50, 279.26,458,1.86,120.102 120.102 191.273 262.445 275.79 275.79 311.375 355.858 462.615 462.615 471.511 484.856 475.96 511.545 511.545 511.545 556.028 560.476 582.717 569.372 551.579 551.579 551.579 578.269 542.683 524.89 480.408 453.718 427.029 440.374 404.788 382.547 302.479 266.893 266.893 266.893 240.204 217.963 169.032 146.791 62.275 
25,61,242,25,123,191,0,569.21,391.44,1.33,0.71,43.90, 277.92,460,1.87,160.136 160.136 266.893 298.031 338.065 395.892 395.892 444.822 511.545 511.545 511.545 529.338 556.028 564.924 547.131 529.338 533.786 542.683 560.476 547.131 520.442 533.786 524.89 511.545 458.167 444.822 444.822 431.477 418.133 395.892 369.202 329.168 262.445 244.652 240.204 217.963 191.273 151.239 84.516 62.275 
26,63,251,25,122,190,0,573.70,382.55,1.33,0.71,32.50, 271.61,461,1.87,124.55 124.55 191.273 240.204 298.031 355.858 355.858 400.34 449.27 475.96 475.96 529.338 524.89 520.442 533.786 538.235 551.579 569.372 556.028 556.028 547.131 547.131 538.235 524.89 484.856 440.374 435.926 418.133 427.029 391.443 346.961 324.72 280.238 244.652 231.307 200.17 173.481 142.343 120.102 97.861 
27,66,261,25,123,188,0,573.70,382.55,1.33,0.71,42.50, 271.61,456,1.87,137.895 137.895 231.307 302.479 338.065 338.065 298.031 346.961 475.96 475.96 484.856 484.856 475.96 480.408 515.994 515.994 524.89 569.372 556.028 564.924 529.338 524.89 524.89 475.96 471.511 493.752 444.822 431.477 378.099 369.202 355.858 382.547 306.927 280.238 235.756 231.307 195.722 195.722 164.584 128.998 
28,68,271,25,123,190,0,631.96,422.58,1.30,0.6900000000000001,42.50, 291.58,452,1.88,133.447 133.447 257.997 324.72 351.409 364.754 364.754 409.236 511.545 515.994 515.994 556.028 564.924 569.372 551.579 560.476 573.82 587.165 627.199 600.51 564.924 573.82 564.924 564.924 520.442 467.063 489.304 435.926 435.926 449.27 386.995 360.306 315.824 284.686 271.341 204.618 164.584 133.447 142.343 
29,70,281,25,123,197,0,555.77,395.89,1.30,0.6900000000000001,46.15, 273.17,480,1.88,155.688 155.688 235.756 293.583 298.031 298.031 351.409 418.133 529.338 529.338 515.994 533.786 515.994 520.442 507.097 529.338 542.683 529.338 551.579 515.994 502.649 515.994 520.442 529.338 511.545 471.511 418.133 431.477 404.788 435.926 391.443 351.409 306.927 289.134 244.652 213.515 160.136 137.895 106.757 
30,73,291,25,121,192,0,618.52,395.89,1.27,0.68,46.15, 269.21,462,1.87,137.895 231.307 231.307 284.686 329.168 311.375 311.375 369.202 502.649 502.649 515.994 515.994 511.545 529.338 542.683 551.579 600.51 600.51 600.51 613.854 600.51 564.924 564.924 520.442 467.063 449.27 386.995 369.202 369.202 373.65 342.513 302.479 253.549 253.549 226.859 164.584 137.895 75.62 
31,75,301,25,122,188,0,587.14,382.55,1.39,0.75,50.00, 286.91,472,1.85,124.55 124.55 173.481 266.893 262.445 262.445 298.031 333.617 440.374 440.374 449.27 458.167 458.167 489.304 489.304 511.545 569.372 556.028 578.269 560.476 560.476 560.476 569.372 578.269 533.786 533.786 480.408 484.856 458.167 458.167 409.236 386.995 364.754 329.168 320.272 266.893 249.1 195.722 195.722 182.377 106.757 84.516 17.793 
32,78,311,24,123,191,0,573.70,391.44,1.39,0.74,41.86, 289.67,469,1.88,102.309 195.722 195.722 257.997 324.72 333.617 333.617 391.443 427.029 475.96 475.96 502.649 507.097 493.752 475.96 493.752 556.028 560.476 564.924 560.476 569.372 547.131 538.235 520.442 498.201 529.338 511.545 524.89 471.511 431.477 395.892 391.443 369.202 342.513 315.824 289.134 253.549 222.411 177.929 146.791 93.413 
33,80,322,24,122,188,0,587.14,378.10,1.39,0.75,48.78, 283.57,490,1.85,115.654 115.654 209.066 266.893 306.927 306.927 302.479 333.617 453.718 453.718 458.167 475.96 484.856 493.752 493.752 502.649 542.683 551.579 582.717 578.269 542.683 542.683 542.683 520.442 547.131 520.442 467.063 484.856 462.615 440.374 409.236 355.858 346.961 306.927 320.272 289.134 266.893 195.722 173.481 142.343 115.654 84.516 
34,83,332,23,123,186,0,542.32,382.55,1.36,0.73,42.86, 279.26,466,1.86,164.584 164.584 235.756 280.238 315.824 315.824 315.824 360.306 440.374 440.374 480.408 458.167 431.477 449.27 471.511 471.511 533.786 511.545 529.338 524.89 538.235 538.235 515.994 529.338 511.545 493.752 480.408 458.167 444.822 404.788 386.995 413.684 338.065 338.065 298.031 249.1 235.756 244.652 222.411 186.825 106.757 
35,85,342,24,123,186,0,564.73,373.65,1.36,0.74,48.78, 276.50,462,1.84,97.861 97.861 191.273 240.204 271.341 284.686 284.686 355.858 458.167 458.167 453.718 462.615 480.408 507.097 524.89 524.89 529.338 533.786 542.683 556.028 533.786 533.786 551.579 560.476 520.442 507.097 462.615 413.684 413.684 431.477 409.236 369.202 275.79 275.79 253.549 249.1 240.204 222.411 155.688 155.688 120.102 62.275 
36,88,352,24,123,184,0,578.18,382.55,1.39,0.75,54.76, 286.91,469,1.85,164.584 164.584 266.893 298.031 315.824 315.824 355.858 404.788 475.96 480.408 471.511 484.856 480.408 471.511 471.511 489.304 533.786 573.82 551.579 524.89 524.89 520.442 524.89 533.786 484.856 493.752 475.96 440.374 400.34 391.443 369.202 369.202 346.961 346.961 289.134 284.686 213.515 222.411 209.066 200.17 106.757 62.275 
37,91,363,24,124,184,0,555.77,387.00,1.36,0.74,40.48, 286.38,466,1.84,137.895 137.895 240.204 298.031 329.168 329.168 311.375 333.617 386.995 444.822 467.063 475.96 449.27 475.96 475.96 511.545 533.786 542.683 547.131 551.579 551.579 547.131 533.786 507.097 529.338 533.786 489.304 453.718 431.477 418.133 418.133 404.788 378.099 320.272 320.272 284.686 280.238 217.963 195.722 142.343 128.998 
38,93,373,24,124,190,0,546.80,373.65,1.36,0.73,46.34, 272.76,465,1.86,146.791 146.791 226.859 329.168 355.858 355.858 413.684 391.443 484.856 484.856 524.89 542.683 515.994 498.201 498.201 542.683 533.786 515.994 511.545 507.097 515.994 502.649 489.304 453.718 458.167 462.615 444.822 440.374 391.443 378.099 338.065 315.824 298.031 235.756 244.652 209.066 213.515 164.584 142.343 142.343 84.516 
39,96,383,23,124,184,0,600.59,387.00,1.36,0.74,26.83, 286.38,469,1.84,128.998 128.998 200.17 249.1 315.824 315.824 346.961 369.202 386.995 462.615 502.649 538.235 529.338 498.201 498.201 511.545 569.372 564.924 533.786 547.131 547.131 547.131 596.061 551.579 489.304 475.96 489.304 467.063 427.029 386.995 386.995 369.202 355.858 324.72 257.997 226.859 209.066 209.066 209.066 155.688 84.516 
40,98,393,23,124,186,0,623.00,409.24,1.33,0.72,53.66, 294.65,459,1.85,88.964 169.032 169.032 266.893 284.686 315.824 315.824 364.754 484.856 480.408 480.408 502.649 542.683 556.028 538.235 551.579 573.82 596.061 618.303 600.51 582.717 560.476 573.82 596.061 609.406 542.683 480.408 458.167 431.477 453.718 453.718 400.34 275.79 280.238 249.1 271.341 204.618 182.377 128.998 106.757 
41,100,403,24,123,190,0,546.80,369.20,1.30,0.7000000000000001,45.00, 258.44,469,1.86,142.343 182.377 182.377 257.997 315.824 369.202 369.202 373.65 400.34 458.167 458.167 475.96 515.994 493.752 524.89 511.545 515.994 542.683 529.338 538.235 538.235 524.89 511.545 484.856 484.856 444.822 449.27 386.995 382.547 338.065 346.961 311.375 249.1 217.963 182.377 169.032 173.481 133.447 133.447 102.309 
42,103,413,24,123,181,0,555.77,360.31,1.39,0.76,42.50, 273.83,454,1.83,142.343 217.963 217.963 240.204 284.686 311.375 311.375 355.858 418.133 431.477 431.477 471.511 489.304 493.752 502.649 502.649 507.097 529.338 551.579 547.131 529.338 529.338 498.201 471.511 480.408 484.856 462.615 431.477 386.995 351.409 382.547 382.547 364.754 293.583 262.445 235.756 244.652 244.652 222.411 160.136 88.964 66.723 
43,105,423,24,125,182,0,573.70,382.55,1.39,0.75,42.86, 286.91,452,1.85,133.447 209.066 209.066 311.375 315.824 333.617 333.617 369.202 480.408 484.856 484.856 498.201 515.994 511.545 507.097 507.097 533.786 551.579 569.372 564.924 551.579 556.028 556.028 538.235 529.338 507.097 444.822 440.374 386.995 413.684 391.443 382.547 333.617 306.927 271.341 271.341 253.549 222.411 209.066 173.481 97.861 97.861 
44,108,433,24,124,190,0,560.25,391.44,1.30,0.6900000000000001,42.86, 270.10,447,1.88,120.102 120.102 217.963 315.824 342.513 342.513 369.202 373.65 493.752 493.752 524.89 542.683 538.235 524.89 529.338 529.338 556.028 556.028 551.579 533.786 498.201 520.442 507.097 524.89 484.856 480.408 427.029 422.581 382.547 382.547 338.065 320.272 271.341 235.756 213.515 217.963 177.929 133.447 106.757 
45,110,443,25,123,190,0,551.29,369.20,1.36,0.73,41.03, 269.52,457,1.86,97.861 97.861 186.825 262.445 315.824 315.824 302.479 311.375 351.409 351.409 431.477 449.27 480.408 422.581 422.581 453.718 515.994 520.442 524.89 520.442 542.683 542.683 542.683 529.338 498.201 471.511 458.167 480.408 489.304 444.822 418.133 360.306 364.754 311.375 333.617 302.479 266.893 209.066 164.584 151.239 120.102 
46,113,452,25,123,190,0,555.77,360.31,1.39,0.75,48.78, 270.23,459,1.85,93.413 93.413 195.722 293.583 306.927 306.927 311.375 351.409 422.581 422.581 435.926 440.374 502.649 493.752 493.752 515.994 502.649 493.752 551.579 538.235 551.579 551.579 511.545 493.752 484.856 475.96 449.27 418.133 386.995 364.754 351.409 355.858 346.961 306.927 266.893 249.1 217.963 191.273 204.618 186.825 88.964 66.723 
47,115,462,25,123,184,0,515.43,346.96,1.33,0.73,42.86, 253.28,438,1.82,111.206 146.791 146.791 222.411 284.686 298.031 298.031 342.513 373.65 404.788 404.788 444.822 453.718 467.063 435.926 440.374 493.752 511.545 511.545 471.511 467.063 467.063 467.063 498.201 475.96 467.063 435.926 400.34 386.995 369.202 373.65 324.72 298.031 253.549 257.997 244.652 240.204 204.618 177.929 128.998 
48,118,472,24,125,179,0,537.84,364.75,1.36,0.74,42.50, 269.92,443,1.84,133.447 133.447 231.307 302.479 333.617 333.617 333.617 355.858 378.099 418.133 449.27 462.615 471.511 484.856 484.856 458.167 493.752 524.89 533.786 533.786 533.786 511.545 493.752 480.408 427.029 431.477 413.684 413.684 400.34 404.788 378.099 373.65 311.375 266.893 298.031 257.997 257.997 213.515 204.618 160.136 128.998 111.206 
49,120,482,24,125,181,0,542.32,351.41,1.45,0.8,42.86, 281.13,450,1.81,111.206 209.066 209.066 240.204 266.893 284.686 284.686 329.168 378.099 369.202 369.202 418.133 440.374 453.718 444.822 444.822 449.27 489.304 538.235 538.235 538.235 520.442 489.304 502.649 489.304 475.96 484.856 458.167 453.718 453.718 431.477 418.133 333.617 311.375 324.72 315.824 298.031 249.1 231.307 204.618 195.722 160.136 160.136 120.102 53.379 
50,122,492,24,125,184,0,569.21,351.41,1.42,0.77,40.00, 270.59,445,1.84,106.757 106.757 155.688 235.756 289.134 289.134 311.375 360.306 395.892 395.892 422.581 484.856 498.201 489.304 489.304 475.96 511.545 564.924 556.028 542.683 542.683 520.442 511.545 507.097 480.408 440.374 440.374 409.236 418.133 418.133 391.443 369.202 329.168 302.479 311.375 257.997 244.652 204.618 173.481 173.481 155.688 97.861 62.275 
51,125,501,25,124,186,0,578.18,378.10,1.39,0.75,39.53, 283.57,448,1.85,142.343 204.618 204.618 257.997 298.031 333.617 333.617 391.443 449.27 484.856 533.786 533.786 524.89 511.545 542.683 556.028 573.82 573.82 547.131 533.786 542.683 542.683 542.683 524.89 449.27 449.27 440.374 458.167 440.374 413.684 382.547 351.409 298.031 302.479 280.238 231.307 177.929 186.825 164.584 142.343 62.275 
52,127,511,25,124,188,0,546.80,373.65,1.30,0.7000000000000001,39.02, 261.56,448,1.86,160.136 235.756 235.756 280.238 271.341 298.031 298.031 369.202 471.511 453.718 453.718 480.408 493.752 542.683 520.442 498.201 515.994 533.786 542.683 542.683 507.097 507.097 515.994 511.545 471.511 444.822 395.892 395.892 400.34 386.995 338.065 311.375 244.652 222.411 209.066 182.377 137.895 124.55 88.964 
53,130,521,25,123,183,0,537.84,351.41,1.42,0.77,33.33, 270.59,457,1.84,115.654 115.654 231.307 298.031 320.272 315.824 315.824 338.065 413.684 435.926 435.926 453.718 462.615 462.615 475.96 475.96 475.96 524.89 511.545 533.786 511.545 511.545 484.856 480.408 475.96 449.27 422.581 418.133 404.788 418.133 369.202 342.513 302.479 311.375 293.583 284.686 226.859 195.722 173.481 164.584 137.895 88.964 66.723 
54,132,531,24,124,185,0,546.80,364.75,1.39,0.75,44.19, 273.57,436,1.85,160.136 160.136 257.997 302.479 342.513 342.513 351.409 373.65 395.892 395.892 418.133 462.615 475.96 475.96 462.615 462.615 493.752 520.442 507.097 511.545 524.89 542.683 542.683 520.442 458.167 440.374 435.926 449.27 431.477 413.684 360.306 355.858 364.754 364.754 311.375 275.79 222.411 191.273 186.825 155.688 75.62 62.275 
