Stroke Number,Time (secs),Distance (meters),Stroke Rate (s/m),500m Split (secs),Power (Watts),Heart Rate (bpm),Peak Force (Newtons),Average Drive Force (Newtons),Drive Length (meters),Drive Time (secs),% of Stroke Complete When Peak Force Is Reached,Impulse (Average force x Time) (Nâ€¢s),Work Per Stroke (Joules),Stroke Speeed (m/s),Force Curve Data Points (Newtons)
55,134,540,25,124,187,0,510.95,346.96,1.36,0.74,50.00, 256.75,439,1.84,97.861 97.861 137.895 213.515 284.686 342.513 342.513 355.858 369.202 369.202 404.788 458.167 458.167 427.029 427.029 427.029 462.615 489.304 467.063 462.615 493.752 493.752 502.649 507.097 453.718 444.822 440.374 418.133 382.547 369.202 369.202 346.961 346.961 338.065 280.238 240.204 209.066 235.756 231.307 182.377 66.723 
56,137,550,25,123,189,0,636.44,449.27,1.33,0.7000000000000001,56.10, 314.49,444,1.90,186.825 186.825 311.375 382.547 435.926 435.926 409.236 453.718 582.717 582.717 582.717 573.82 556.028 569.372 596.061 569.372 569.372 573.82 618.303 618.303 631.647 604.958 582.717 587.165 573.82 538.235 502.649 449.27 458.167 400.34 413.684 364.754 298.031 315.824 284.686 235.756 235.756 169.032 137.895 88.964 
57,139,559,26,123,215,0,582.66,404.79,1.36,0.7000000000000001,50.00, 283.35,487,1.94,124.55 231.307 231.307 320.272 364.754 404.788 400.34 458.167 502.649 538.235 538.235 524.89 524.89 538.235 538.235 556.028 524.89 569.372 569.372 578.269 564.924 551.579 556.028 569.372 475.96 453.718 400.34 395.892 386.995 386.995 351.409 351.409 266.893 275.79 253.549 244.652 195.722 173.481 128.998 115.654 
58,141,569,26,118,216,0,631.96,431.48,1.30,0.66,47.50, 284.78,491,1.97,231.307 231.307 311.375 364.754 333.617 386.995 435.926 435.926 520.442 551.579 564.924 600.51 573.82 573.82 582.717 582.717 591.613 618.303 596.061 582.717 627.199 591.613 582.717 538.235 471.511 484.856 444.822 444.822 382.547 351.409 298.031 280.238 249.1 191.273 155.688 133.447 124.55 
59,144,579,27,117,221,0,600.59,400.34,1.33,0.68,54.05, 272.23,491,1.96,151.239 253.549 253.549 329.168 364.754 369.202 369.202 369.202 524.89 569.372 596.061 564.924 560.476 564.924 573.82 573.82 564.924 547.131 551.579 569.372 542.683 538.235 498.201 484.856 480.408 431.477 404.788 355.858 351.409 320.272 355.858 311.375 204.618 204.618 173.481 182.377 128.998 106.757 71.172 
60,146,588,27,117,214,0,587.14,387.00,1.33,0.6900000000000001,25.64, 267.03,481,1.93,115.654 115.654 204.618 280.238 306.927 329.168 329.168 364.754 462.615 493.752 511.545 511.545 524.89 507.097 515.994 538.235 556.028 573.82 582.717 582.717 564.924 542.683 520.442 493.752 507.097 489.304 435.926 418.133 378.099 382.547 342.513 302.479 275.79 253.549 222.411 164.584 164.584 111.206 84.516 
61,148,598,27,118,209,0,560.25,378.10,1.39,0.72,46.15, 272.23,473,1.93,133.447 226.859 226.859 306.927 346.961 369.202 355.858 355.858 453.718 484.856 471.511 453.718 453.718 427.029 435.926 484.856 524.89 511.545 524.89 529.338 529.338 556.028 515.994 507.097 484.856 471.511 458.167 435.926 413.684 382.547 369.202 351.409 311.375 289.134 257.997 213.515 213.515 200.17 182.377 133.447 
62,150,607,26,119,209,0,587.14,400.34,1.36,0.7000000000000001,52.50, 280.24,473,1.94,115.654 115.654 217.963 302.479 378.099 404.788 404.788 440.374 538.235 542.683 556.028 556.028 582.717 547.131 533.786 547.131 578.269 569.372 542.683 529.338 529.338 538.235 533.786 547.131 453.718 391.443 422.581 395.892 418.133 391.443 355.858 311.375 275.79 284.686 271.341 231.307 191.273 169.032 142.343 102.309 
63,153,617,27,118,215,0,654.37,427.03,1.36,0.6900000000000001,30.00, 294.65,479,1.97,191.273 271.341 271.341 333.617 382.547 400.34 440.374 440.374 511.545 524.89 587.165 564.924 569.372 569.372 551.579 560.476 596.061 631.647 631.647 649.44 604.958 613.854 591.613 596.061 520.442 431.477 431.477 409.236 409.236 378.099 364.754 342.513 293.583 262.445 226.859 204.618 160.136 124.55 88.964 
64,155,627,27,118,225,0,636.44,418.13,1.36,0.6900000000000001,48.72, 288.51,508,1.97,200.17 200.17 293.583 342.513 351.409 369.202 369.202 422.581 556.028 564.924 556.028 578.269 578.269 578.269 609.406 631.647 573.82 569.372 582.717 596.061 604.958 569.372 542.683 529.338 467.063 435.926 418.133 382.547 369.202 338.065 342.513 333.617 271.341 226.859 253.549 204.618 195.722 133.447 106.757 
65,157,636,26,116,224,0,640.93,404.79,1.39,0.71,38.46, 287.40,507,1.96,155.688 262.445 262.445 324.72 351.409 369.202 391.443 391.443 453.718 484.856 538.235 547.131 556.028 556.028 556.028 529.338 600.51 636.095 613.854 582.717 547.131 524.89 533.786 542.683 520.442 467.063 427.029 400.34 378.099 382.547 378.099 346.961 284.686 235.756 226.859 217.963 217.963 164.584 151.239 97.861 
66,159,646,26,116,223,0,623.00,404.79,1.42,0.72,42.50, 291.45,513,1.97,195.722 342.513 342.513 364.754 386.995 346.961 391.443 391.443 507.097 520.442 502.649 502.649 498.201 560.476 560.476 569.372 587.165 573.82 582.717 609.406 618.303 600.51 582.717 542.683 515.994 502.649 480.408 422.581 391.443 338.065 346.961 315.824 293.583 262.445 200.17 186.825 160.136 160.136 160.136 115.654 
67,162,656,26,116,224,0,618.52,418.13,1.36,0.6900000000000001,50.00, 288.51,499,1.97,204.618 311.375 311.375 360.306 338.065 355.858 391.443 449.27 511.545 515.994 511.545 520.442 524.89 556.028 578.269 578.269 564.924 609.406 613.854 609.406 587.165 564.924 551.579 569.372 520.442 480.408 440.374 404.788 378.099 369.202 342.513 333.617 280.238 244.652 226.859 213.515 186.825 142.343 115.654 
68,164,666,27,116,222,0,596.11,400.34,1.36,0.7000000000000001,46.15, 280.24,510,1.94,151.239 217.963 302.479 302.479 329.168 373.65 391.443 418.133 462.615 502.649 538.235 560.476 529.338 524.89 547.131 547.131 582.717 591.613 587.165 560.476 578.269 551.579 551.579 511.545 453.718 435.926 431.477 422.581 413.684 369.202 333.617 311.375 289.134 280.238 249.1 191.273 182.377 124.55 124.55 
69,166,675,26,116,224,0,609.55,422.58,1.42,0.7000000000000001,43.59, 295.81,501,2.03,182.377 257.997 257.997 311.375 369.202 395.892 471.511 484.856 520.442 556.028 569.372 582.717 587.165 560.476 547.131 547.131 578.269 582.717 604.958 578.269 578.269 591.613 573.82 547.131 480.408 458.167 440.374 435.926 435.926 413.684 369.202 346.961 306.927 302.479 257.997 231.307 195.722 160.136 142.343 88.964 
70,168,685,27,116,233,0,627.48,418.13,1.42,0.7000000000000001,45.00, 292.69,509,2.03,146.791 262.445 262.445 342.513 369.202 351.409 364.754 440.374 502.649 556.028 573.82 573.82 564.924 573.82 596.061 600.51 591.613 591.613 604.958 609.406 622.751 609.406 604.958 556.028 498.201 462.615 435.926 418.133 386.995 364.754 360.306 315.824 293.583 280.238 235.756 209.066 182.377 164.584 102.309 93.413 
71,171,695,27,114,233,0,623.00,418.13,1.42,0.7000000000000001,50.00, 292.69,514,2.03,115.654 191.273 298.031 298.031 364.754 404.788 386.995 395.892 400.34 467.063 533.786 573.82 547.131 529.338 515.994 556.028 618.303 618.303 600.51 596.061 578.269 569.372 613.854 591.613 520.442 511.545 480.408 484.856 435.926 431.477 373.65 360.306 355.858 298.031 262.445 217.963 191.273 164.584 146.791 146.791 
72,173,704,27,114,234,0,623.00,409.24,1.42,0.7000000000000001,40.00, 286.47,520,2.03,106.757 106.757 146.791 240.204 284.686 360.306 382.547 382.547 409.236 458.167 507.097 524.89 538.235 538.235 520.442 551.579 604.958 604.958 618.303 600.51 587.165 609.406 609.406 587.165 507.097 507.097 467.063 489.304 440.374 427.029 364.754 342.513 284.686 302.479 284.686 253.549 200.17 164.584 128.998 120.102 
73,175,714,27,114,227,0,564.73,382.55,1.39,0.71,45.00, 271.61,517,1.96,124.55 124.55 222.411 306.927 320.272 320.272 369.202 369.202 444.822 471.511 475.96 493.752 511.545 511.545 515.994 529.338 542.683 529.338 556.028 560.476 556.028 547.131 524.89 533.786 480.408 449.27 449.27 440.374 382.547 369.202 373.65 360.306 302.479 271.341 235.756 204.618 222.411 195.722 173.481 106.757 
74,177,724,26,115,218,0,614.03,404.79,1.42,0.73,47.50, 295.50,494,1.95,106.757 151.239 151.239 253.549 351.409 386.995 418.133 382.547 391.443 467.063 529.338 569.372 564.924 507.097 507.097 520.442 569.372 578.269 596.061 596.061 604.958 609.406 596.061 560.476 498.201 507.097 493.752 471.511 427.029 427.029 409.236 373.65 373.65 342.513 311.375 209.066 191.273 164.584 191.273 142.343 
75,180,734,26,116,223,0,623.00,409.24,1.42,0.72,52.50, 294.65,509,1.97,151.239 151.239 222.411 329.168 342.513 378.099 378.099 386.995 440.374 489.304 533.786 524.89 524.89 511.545 502.649 515.994 600.51 613.854 618.303 613.854 613.854 618.303 604.958 582.717 564.924 542.683 524.89 493.752 475.96 418.133 422.581 351.409 346.961 271.341 266.893 204.618 177.929 160.136 160.136 106.757 
76,182,743,26,116,227,0,614.03,400.34,1.42,0.72,45.00, 288.24,508,1.97,111.206 111.206 186.825 284.686 338.065 378.099 391.443 391.443 435.926 453.718 511.545 524.89 511.545 511.545 489.304 493.752 524.89 556.028 529.338 582.717 596.061 609.406 569.372 560.476 529.338 547.131 507.097 462.615 462.615 435.926 391.443 395.892 311.375 289.134 271.341 262.445 231.307 204.618 160.136 124.55 
77,184,753,27,116,226,0,623.00,418.13,1.42,0.71,52.50, 296.87,511,2.00,160.136 160.136 226.859 298.031 351.409 400.34 435.926 435.926 444.822 471.511 520.442 524.89 511.545 471.511 471.511 515.994 582.717 587.165 551.579 569.372 591.613 618.303 596.061 582.717 511.545 489.304 475.96 449.27 444.822 404.788 413.684 395.892 324.72 306.927 275.79 240.204 204.618 186.825 151.239 128.998 
78,186,763,27,116,229,0,663.34,395.89,1.42,0.72,52.50, 285.04,519,1.97,115.654 164.584 244.652 244.652 293.583 324.72 364.754 346.961 360.306 418.133 484.856 529.338 538.235 515.994 520.442 520.442 560.476 587.165 596.061 591.613 591.613 658.337 640.544 613.854 515.994 502.649 480.408 484.856 444.822 418.133 364.754 364.754 338.065 280.238 262.445 204.618 213.515 186.825 177.929 124.55 
79,189,773,26,115,225,0,645.41,400.34,1.39,0.71,52.50, 284.24,508,1.96,169.032 231.307 306.927 306.927 324.72 351.409 360.306 395.892 458.167 493.752 533.786 498.201 507.097 507.097 538.235 573.82 569.372 564.924 573.82 587.165 604.958 640.544 582.717 551.579 520.442 498.201 467.063 440.374 395.892 382.547 386.995 373.65 275.79 226.859 200.17 191.273 200.17 160.136 106.757 48.93 
80,191,783,27,116,218,0,640.93,395.89,1.39,0.72,52.50, 285.04,506,1.93,128.998 213.515 213.515 266.893 266.893 320.272 342.513 382.547 422.581 422.581 467.063 484.856 480.408 480.408 498.201 498.201 564.924 613.854 582.717 604.958 609.406 609.406 591.613 636.095 578.269 551.579 471.511 458.167 440.374 440.374 404.788 351.409 311.375 293.583 262.445 231.307 195.722 146.791 155.688 128.998 
81,193,792,26,117,215,0,618.52,409.24,1.36,0.7000000000000001,57.50, 286.47,494,1.94,164.584 164.584 253.549 329.168 346.961 378.099 378.099 382.547 467.063 515.994 520.442 520.442 520.442 484.856 511.545 529.338 542.683 582.717 604.958 604.958 604.958 613.854 578.269 556.028 533.786 507.097 475.96 431.477 427.029 400.34 382.547 351.409 311.375 284.686 253.549 249.1 213.515 191.273 146.791 111.206 
82,196,802,26,117,218,0,649.89,427.03,1.42,0.71,52.50, 303.19,502,2.00,146.791 235.756 235.756 320.272 346.961 338.065 378.099 378.099 493.752 529.338 520.442 529.338 551.579 551.579 560.476 569.372 582.717 591.613 613.854 644.992 627.199 631.647 573.82 573.82 551.579 498.201 498.201 431.477 462.615 427.029 431.477 369.202 289.134 280.238 284.686 284.686 222.411 186.825 106.757 97.861 
83,198,812,26,117,213,0,434.75,320.27,1.27,0.68,47.50, 217.78,498,1.87,151.239 151.239 213.515 240.204 235.756 235.756 275.79 275.79 338.065 320.272 338.065 338.065 351.409 386.995 391.443 382.547 409.236 431.477 431.477 413.684 418.133 409.236 427.029 418.133 404.788 391.443 391.443 391.443 373.65 431.477 355.858 324.72 280.238 253.549 222.411 182.377 124.55 111.206 75.62 
84,201,823,26,118,160,0,407.86,280.24,1.27,0.76,43.59, 212.98,456,1.67,106.757 106.757 146.791 182.377 217.963 217.963 244.652 217.963 262.445 298.031 320.272 320.272 315.824 311.375 333.617 355.858 386.995 395.892 386.995 386.995 404.788 404.788 404.788 395.892 373.65 391.443 395.892 391.443 338.065 338.065 324.72 320.272 311.375 271.341 226.859 226.859 231.307 213.515 235.756 173.481 62.275 62.275 44.482 
85,204,833,22,138,134,0,416.83,266.89,1.33,0.8300000000000001,46.51, 221.52,364,1.60,71.172 71.172 115.654 209.066 209.066 222.411 249.1 249.1 271.341 302.479 302.479 324.72 342.513 342.513 329.168 324.72 351.409 346.961 346.961 391.443 391.443 404.788 413.684 395.892 364.754 378.099 395.892 386.995 360.306 360.306 333.617 324.72 311.375 311.375 275.79 231.307 253.549 249.1 231.307 231.307 151.239 133.447 133.447 106.757 106.757 80.068 4.448 
86,206,843,22,138,119,0,403.38,275.79,1.27,0.8200000000000001,46.81, 226.15,348,1.55,120.102 120.102 169.032 182.377 182.377 217.963 240.204 240.204 298.031 298.031 315.824 329.168 320.272 320.272 329.168 360.306 355.858 378.099 391.443 391.443 400.34 395.892 395.892 395.892 373.65 373.65 373.65 355.858 338.065 315.824 315.824 315.824 302.479 293.583 293.583 226.859 240.204 240.204 244.652 244.652 164.584 142.343 128.998 88.964 88.964 62.275 
87,209,853,20,143,116,0,439.24,289.13,1.33,0.85,43.48, 245.76,332,1.56,115.654 115.654 173.481 222.411 222.411 235.756 235.756 235.756 315.824 315.824 338.065 315.824 298.031 298.031 355.858 355.858 409.236 355.858 391.443 391.443 435.926 435.926 435.926 418.133 422.581 431.477 431.477 427.029 378.099 373.65 373.65 391.443 360.306 306.927 275.79 275.79 275.79 280.238 253.549 217.963 177.929 169.032 151.239 124.55 111.206 111.206 80.068 75.62 
88,212,863,21,144,121,0,416.83,262.44,1.33,0.85,41.67, 223.08,335,1.56,66.723 66.723 128.998 186.825 186.825 222.411 231.307 231.307 280.238 280.238 315.824 306.927 306.927 302.479 324.72 333.617 360.306 351.409 351.409 346.961 378.099 413.684 413.684 409.236 355.858 373.65 373.65 373.65 382.547 333.617 333.617 338.065 320.272 266.893 266.893 244.652 257.997 240.204 235.756 235.756 173.481 155.688 151.239 137.895 137.895 137.895 84.516 57.827 
89,215,873,22,143,112,0,358.56,249.10,1.33,0.88,43.75, 219.21,340,1.51,106.757 106.757 177.929 177.929 177.929 200.17 235.756 235.756 293.583 293.583 275.79 284.686 284.686 289.134 284.686 284.686 324.72 324.72 342.513 329.168 315.824 315.824 333.617 338.065 346.961 320.272 329.168 329.168 355.858 342.513 320.272 320.272 275.79 280.238 302.479 302.479 293.583 266.893 244.652 244.652 209.066 186.825 173.481 173.481 133.447 124.55 102.309 75.62 40.034 0.0 
90,218,883,20,146,108,0,416.83,271.34,1.30,0.86,56.00, 233.35,304,1.51,102.309 102.309 164.584 186.825 186.825 200.17 235.756 235.756 293.583 293.583 284.686 298.031 298.031 311.375 311.375 311.375 306.927 338.065 338.065 382.547 382.547 382.547 346.961 346.961 391.443 413.684 400.34 378.099 378.099 364.754 382.547 386.995 360.306 298.031 289.134 280.238 280.238 293.583 266.893 240.204 182.377 182.377 177.929 173.481 120.102 120.102 84.516 22.241 
91,221,893,21,148,110,0,430.27,293.58,1.24,0.8100000000000001,52.08, 237.80,316,1.53,142.343 142.343 191.273 244.652 244.652 217.963 262.445 262.445 324.72 324.72 315.824 298.031 298.031 320.272 329.168 329.168 369.202 369.202 369.202 404.788 413.684 413.684 427.029 404.788 382.547 391.443 409.236 395.892 395.892 360.306 351.409 338.065 333.617 329.168 306.927 293.583 280.238 280.238 240.204 231.307 173.481 173.481 142.343 97.861 88.964 48.93 
92,224,903,21,147,112,0,452.68,302.48,1.30,0.84,47.83, 254.08,336,1.55,106.757 106.757 146.791 146.791 164.584 213.515 213.515 235.756 293.583 280.238 329.168 329.168 333.617 351.409 351.409 342.513 369.202 369.202 409.236 427.029 427.029 413.684 404.788 422.581 422.581 449.27 413.684 413.684 386.995 404.788 400.34 413.684 373.65 338.065 311.375 346.961 346.961 338.065 320.272 284.686 226.859 231.307 235.756 213.515 155.688 88.964 88.964 53.379 
93,227,913,20,146,118,0,448.20,275.79,1.30,0.84,52.08, 231.66,342,1.55,88.964 88.964 137.895 164.584 164.584 200.17 222.411 222.411 253.549 253.549 266.893 306.927 306.927 302.479 329.168 329.168 351.409 391.443 391.443 418.133 418.133 418.133 404.788 413.684 418.133 444.822 431.477 409.236 395.892 395.892 400.34 369.202 306.927 306.927 284.686 275.79 257.997 253.549 253.549 222.411 173.481 160.136 160.136 142.343 115.654 80.068 44.482 
94,230,923,21,144,116,0,416.83,275.79,1.27,0.8200000000000001,53.19, 226.15,327,1.55,71.172 71.172 164.584 191.273 191.273 213.515 213.515 217.963 298.031 298.031 315.824 320.272 320.272 324.72 351.409 351.409 364.754 364.754 391.443 409.236 413.684 413.684 395.892 400.34 400.34 409.236 386.995 346.961 351.409 351.409 364.754 351.409 338.065 275.79 257.997 266.893 257.997 253.549 253.549 209.066 169.032 146.791 146.791 137.895 97.861 88.964 
95,233,933,20,146,112,0,443.72,280.24,1.30,0.85,43.48, 238.20,335,1.53,75.62 75.62 146.791 173.481 173.481 217.963 217.963 217.963 266.893 266.893 275.79 289.134 289.134 289.134 302.479 302.479 342.513 342.513 355.858 360.306 360.306 404.788 404.788 422.581 382.547 386.995 400.34 400.34 440.374 418.133 400.34 400.34 378.099 351.409 320.272 320.272 298.031 280.238 298.031 257.997 217.963 182.377 164.584 151.239 115.654 115.654 80.068 62.275 
96,236,943,20,146,111,0,421.31,253.55,1.30,0.86,58.33, 218.05,332,1.51,71.172 71.172 111.206 146.791 146.791 195.722 226.859 226.859 262.445 262.445 271.341 306.927 306.927 280.238 302.479 302.479 373.65 373.65 382.547 369.202 369.202 386.995 409.236 418.133 409.236 378.099 391.443 391.443 373.65 360.306 342.513 342.513 311.375 315.824 257.997 257.997 226.859 204.618 222.411 222.411 182.377 124.55 120.102 120.102 106.757 97.861 66.723 13.345 
97,238,953,20,146,105,0,412.34,266.89,1.27,0.85,47.92, 226.86,309,1.49,80.068 80.068 146.791 177.929 177.929 209.066 253.549 253.549 298.031 298.031 289.134 289.134 329.168 284.686 284.686 320.272 378.099 378.099 373.65 355.858 355.858 364.754 409.236 409.236 382.547 373.65 364.754 364.754 373.65 360.306 346.961 346.961 329.168 311.375 311.375 275.79 244.652 240.204 217.963 217.963 164.584 146.791 146.791 111.206 102.309 80.068 48.93 48.93 
98,241,962,20,149,109,0,407.86,275.79,1.33,0.87,45.83, 239.94,307,1.53,97.861 97.861 177.929 222.411 222.411 231.307 231.307 266.893 284.686 320.272 293.583 293.583 302.479 306.927 329.168 329.168 315.824 315.824 378.099 395.892 395.892 391.443 386.995 382.547 404.788 391.443 378.099 378.099 386.995 395.892 395.892 346.961 333.617 324.72 324.72 315.824 315.824 275.79 253.549 231.307 213.515 200.17 160.136 155.688 128.998 128.998 120.102 80.068 
99,244,972,21,147,114,0,380.97,249.10,1.27,0.8300000000000001,50.00, 206.75,316,1.53,93.413 93.413 155.688 155.688 204.618 191.273 191.273 213.515 249.1 289.134 266.893 266.893 249.1 266.893 280.238 280.238 311.375 311.375 329.168 346.961 346.961 333.617 329.168 355.858 373.65 378.099 342.513 342.513 369.202 355.858 342.513 342.513 289.134 284.686 266.893 266.893 244.652 222.411 191.273 177.929 191.273 195.722 155.688 106.757 106.757 84.516 53.379 
100,247,982,22,145,107,0,403.38,266.89,1.33,0.88,53.19, 234.87,312,1.51,66.723 66.723 106.757 106.757 186.825 204.618 204.618 244.652 222.411 271.341 280.238 280.238 324.72 302.479 302.479 302.479 320.272 329.168 333.617 333.617 378.099 391.443 400.34 400.34 373.65 395.892 395.892 400.34 391.443 351.409 351.409 355.858 324.72 324.72 293.583 320.272 302.479 302.479 320.272 249.1 222.411 222.411 222.411 213.515 173.481 137.895 137.895 111.206 75.62 
101,250,992,21,148,108,0,452.68,266.89,1.27,0.84,44.90, 224.19,320,1.51,84.516 84.516 151.239 142.343 142.343 182.377 182.377 217.963 266.893 275.79 275.79 275.79 275.79 298.031 298.031 315.824 342.513 346.961 400.34 369.202 369.202 400.34 422.581 422.581 431.477 409.236 409.236 395.892 373.65 360.306 342.513 342.513 315.824 266.893 266.893 257.997 244.652 262.445 213.515 213.515 142.343 133.447 128.998 128.998 120.102 88.964 48.93 48.93 
102,253,1001,20,148,108,0,430.27,266.89,1.27,0.84,50.00, 224.19,305,1.51,120.102 120.102 169.032 186.825 186.825 222.411 222.411 240.204 302.479 257.997 289.134 289.134 293.583 315.824 306.927 306.927 329.168 329.168 342.513 346.961 346.961 386.995 395.892 427.029 386.995 382.547 391.443 391.443 391.443 369.202 346.961 329.168 306.927 293.583 257.997 257.997 249.1 257.997 244.652 222.411 173.481 151.239 124.55 102.309 102.309 88.964 66.723 
103,256,1011,21,147,109,0,394.42,266.89,1.27,0.8300000000000001,48.94, 221.52,309,1.53,133.447 133.447 186.825 226.859 226.859 226.859 262.445 262.445 302.479 302.479 302.479 315.824 315.824 306.927 320.272 320.272 369.202 369.202 373.65 386.995 382.547 382.547 391.443 386.995 360.306 360.306 355.858 351.409 351.409 324.72 315.824 324.72 306.927 293.583 240.204 217.963 217.963 217.963 226.859 209.066 177.929 155.688 146.791 115.654 75.62 75.62 26.689 
104,259,1021,20,149,106,0,416.83,262.44,1.27,0.85,46.81, 223.08,318,1.49,106.757 106.757 137.895 137.895 204.618 186.825 186.825 226.859 253.549 280.238 280.238 280.238 262.445 275.79 275.79 275.79 298.031 342.513 351.409 351.409 373.65 351.409 378.099 378.099 382.547 382.547 369.202 404.788 404.788 404.788 413.684 364.754 329.168 329.168 315.824 280.238 231.307 231.307 222.411 217.963 195.722 195.722 160.136 133.447 106.757 88.964 88.964 26.689 
105,262,1031,20,150,104,0,421.31,266.89,1.33,0.89,62.50, 237.53,311,1.49,84.516 84.516 146.791 146.791 160.136 191.273 191.273 209.066 266.893 249.1 249.1 249.1 262.445 266.893 266.893 271.341 257.997 293.583 324.72 324.72 338.065 346.961 346.961 342.513 369.202 364.754 360.306 364.754 364.754 378.099 395.892 418.133 373.65 382.547 391.443 391.443 382.547 338.065 315.824 284.686 280.238 244.652 217.963 191.273 191.273 182.377 164.584 124.55 75.62 26.689 
106,265,1041,20,149,106,0,385.45,240.20,1.30,0.88,62.00, 211.38,313,1.48,66.723 66.723 133.447 160.136 160.136 209.066 200.17 200.17 235.756 235.756 249.1 249.1 249.1 266.893 266.893 271.341 284.686 284.686 320.272 315.824 315.824 360.306 311.375 311.375 355.858 382.547 382.547 333.617 338.065 311.375 311.375 342.513 284.686 284.686 284.686 280.238 266.893 266.893 226.859 200.17 204.618 191.273 195.722 146.791 115.654 115.654 102.309 84.516 66.723 44.482 
107,267,1051,20,149,102,0,380.97,253.55,1.33,0.9,50.00, 228.19,296,1.48,80.068 80.068 120.102 146.791 146.791 204.618 235.756 235.756 231.307 257.997 275.79 275.79 284.686 249.1 249.1 280.238 289.134 315.824 306.927 338.065 338.065 342.513 378.099 378.099 342.513 360.306 360.306 364.754 369.202 369.202 360.306 324.72 333.617 346.961 351.409 311.375 266.893 266.893 244.652 253.549 262.445 222.411 186.825 164.584 151.239 151.239 120.102 102.309 71.172 62.275 31.138 
108,270,1060,21,151,107,0,398.90,262.44,1.33,0.88,43.14, 230.95,303,1.51,111.206 111.206 164.584 213.515 213.515 195.722 195.722 213.515 249.1 275.79 266.893 266.893 257.997 284.686 284.686 298.031 311.375 306.927 338.065 373.65 373.65 360.306 373.65 373.65 395.892 386.995 386.995 386.995 369.202 378.099 378.099 378.099 346.961 329.168 329.168 315.824 293.583 284.686 284.686 240.204 195.722 200.17 200.17 186.825 169.032 124.55 97.861 97.861 48.93 
